,pl1,pl3,pl7,pl14
content_emotion,1.5977116785755399,2.1781660098667746,2.9791948414714167,3.971128056488967
content_historical,1.5977116535788256,2.1781660188166634,2.979194844459445,3.971128053390342
content_sentiment,1.5977116874079065,2.178166019509112,2.97919484407717,3.971128043487171
headlines_emotion,1.6512745429359685,2.2544704140196345,3.082919651817412,4.126088264701975
headlines_historical,1.6512745581051722,2.254470422473947,3.082919651806132,4.126088239680168
headlines_sentiment,1.6512745316606559,2.254470409117879,3.0829196583704372,4.126088254142032
